"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu10",2120,1,0,1,0,0,0
"stu10",2140,1,0,1,0,0,0
"stu10",2143,1,0,0,1,0,0
"stu10",2149,1,0,0,1,0,0
"stu10",2195,1,0,0,0,0,0
"stu10",2199,1,0,0,0,0,0
"stu10",2200,1,0,0,1,0,0
"stu10",2202,1,0,0,1,0,0
"stu10",2207,1,0,0,1,0,0
"stu10",2222,1,0,0,0,0,0
"stu10",2239,1,0,0,0,0,0
"stu10",2265,1,0,0,1,0,0
"stu10",2272,1,0,0,1,0,0
"stu10",2274,1,0,0,1,0,0
"stu10",2290,0,0,0,0,0,0
"stu10",2293,1,0,0,0,0,0
"stu10",2294,1,0,0,1,0,0
"stu10",2314,1,0,0,0,0,0
"stu10",2316,1,0,0,0,0,0
"stu10",2327,1,0,0,1,0,0
"stu10",2334,1,0,0,0,0,0
"stu10",2340,0,0,0,0,0,0
"stu10",2348,1,0,0,0,0,0
"stu10",2349,1,0,0,0,0,0
"stu10",2426,1,0,0,1,0,0
"stu10",2432,1,0,0,0,0,0
"stu10",2441,0,0,0,0,0,0
"stu10",2442,1,0,0,0,0,0
"stu10",2460,1,0,0,0,0,0
"stu10",2464,1,0,0,0,0,0
"stu10",2476,1,0,0,0,0,0
"stu10",2477,1,0,0,1,0,0
"stu10",2478,1,0,0,1,0,0
"stu10",2479,1,0,0,0,0,0
"stu10",2480,1,0,0,1,0,0
"stu10",2566,1,0,1,1,0,0
"stu10",2622,1,1,0,0,0,0
"stu10",2624,1,0,0,0,1,0
"stu10",2735,1,0,0,1,0,0
"stu10",2736,0,0,0,1,0,0
"stu10",2737,1,0,0,1,0,0
"stu10",2740,0,0,1,0,0,0
"stu10",2741,1,0,1,0,0,0
"stu10",2744,0,0,0,1,0,0
"stu10",2745,1,0,0,1,0,0
"stu10",2748,1,0,0,0,0,0
"stu10",2751,0,0,0,0,0,0
"stu10",2752,1,0,0,0,0,0
"stu10",2757,1,0,0,0,0,0
"stu10",2761,1,0,1,0,0,0
"stu10",2770,1,0,0,1,0,0
"stu10",2774,0,0,0,1,0,0
"stu10",2779,0,0,0,1,0,0
"stu10",2780,1,0,0,1,0,0
"stu10",2811,1,1,0,0,0,0
"stu10",2815,1,1,0,0,0,0
"stu10",2817,1,1,0,0,0,0
"stu10",2851,1,0,0,0,0,0
"stu10",2855,1,0,0,0,0,0
"stu10",2861,1,0,0,0,0,0
"stu10",2872,1,0,0,0,0,0
"stu10",2882,0,0,0,0,0,0
"stu10",2883,1,0,0,0,0,0
"stu10",2894,1,0,0,0,0,0
"stu10",2900,1,0,0,0,0,0
"stu10",2915,1,0,0,0,0,0
"stu10",2924,0,0,0,0,0,0
"stu10",2925,1,0,0,0,0,0
"stu10",2928,0,0,0,0,0,0
"stu10",2929,1,0,0,0,0,0
"stu10",2930,1,0,0,0,0,0
"stu10",2936,1,0,0,0,0,0
"stu10",2937,1,0,0,0,0,0
"stu10",2941,1,0,0,0,0,0
"stu10",2943,0,0,0,0,0,0
"stu10",2956,1,0,0,0,0,0
"stu10",2984,0,0,0,1,0,0
"stu10",2987,1,0,0,1,0,0
"stu10",2990,1,0,0,1,0,0
"stu10",2991,1,0,0,1,0,0
"stu10",3006,1,0,0,1,0,0
"stu10",3022,1,0,0,1,0,0
"stu10",3060,1,0,1,0,0,0
